Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
12:39 AM,7,5,0,2,6,0,0
12:40 AM,12,5,0,5,11,0,0
12:41 AM,14,1,0,1,3,0,0
12:42 AM,15,3,0,2,2,0,0
12:43 AM,17,3,0,2,4,0,0
12:44 AM,12,1,0,2,6,0,0
12:45 AM,9,2,0,1,2,0,0
12:46 AM,15,2,0,1,1,0,0
12:47 AM,8,0,0,2,7,0,0
12:48 AM,9,3,0,0,0,0,0
12:49 AM,11,2,0,1,2,0,0
12:50 AM,10,1,0,1,1,0,0
12:51 AM,14,1,0,1,1,0,0
12:52 AM,17,2,0,3,3,0,0
12:53 AM,15,3,0,2,3,0,0
12:54 AM,17,1,0,1,1,0,0
12:55 AM,15,2,0,2,5,0,0
12:56 AM,14,2,0,2,4,0,0
12:57 AM,13,1,0,3,4,0,0
12:58 AM,18,2,0,4,6,0,0
12:59 AM,18,1,0,0,0,0,0
1:00 AM,22,0,0,3,3,0,0
1:01 AM,21,0,0,1,2,0,0
1:02 AM,22,1,0,0,0,0,0
1:03 AM,17,1,0,1,4,0,0
1:04 AM,18,1,0,1,2,0,0
1:05 AM,18,2,0,1,2,0,0
1:06 AM,23,2,0,4,7,0,0
1:07 AM,23,0,0,3,5,0,0
1:08 AM,23,0,0,3,4,0,0
1:09 AM,24,2,0,2,4,0,0
1:10 AM,23,0,0,4,5,0,0
1:11 AM,24,0,0,3,5,0,0
1:12 AM,24,0,0,3,4,0,0
1:13 AM,25,2,0,2,3,0,0
1:14 AM,24,0,0,1,1,0,0
1:15 AM,24,1,0,0,0,0,0
1:16 AM,27,1,0,2,3,0,0
1:17 AM,24,1,0,1,1,0,0
1:18 AM,23,1,0,5,11,0,0
1:19 AM,20,3,0,5,6,0,0
1:20 AM,20,1,0,6,13,0,0
1:21 AM,24,2,0,2,2,0,0
1:22 AM,27,2,0,5,10,0,0
1:23 AM,30,2,0,2,2,0,0
1:24 AM,26,2,0,0,0,0,0
1:25 AM,27,0,0,1,1,0,0
1:26 AM,23,0,0,3,3,0,0
1:27 AM,22,1,0,2,2,0,0
1:28 AM,20,1,0,2,2,0,0
1:29 AM,23,1,0,5,7,0,0
1:30 AM,20,3,0,7,8,0,0
1:31 AM,28,2,0,3,3,0,0
1:32 AM,26,0,0,2,2,0,0
1:33 AM,26,1,0,1,2,0,0
1:34 AM,25,0,0,2,2,0,0
1:35 AM,28,1,0,3,5,0,0
1:36 AM,28,1,0,4,4,0,0
1:37 AM,28,0,0,2,2,0,0
1:38 AM,22,1,0,2,3,0,0
1:39 AM,24,1,0,2,4,0,0
1:40 AM,27,0,0,1,1,0,0
1:41 AM,22,2,0,0,0,0,0
1:42 AM,25,1,0,2,2,0,0
1:43 AM,28,2,0,1,1,0,0
1:44 AM,28,1,0,0,0,0,0
1:45 AM,28,1,0,4,4,0,0
1:46 AM,30,1,0,5,7,0,0
1:47 AM,33,4,0,4,4,0,0
1:48 AM,30,0,0,3,3,0,0
1:49 AM,33,1,0,4,6,0,0
1:50 AM,30,0,0,3,4,0,0
1:51 AM,29,1,0,0,0,0,0
1:52 AM,32,1,0,7,13,0,0
1:53 AM,34,0,0,5,7,0,0
1:54 AM,34,0,0,4,7,0,0
1:55 AM,33,0,0,2,4,0,0
1:56 AM,32,0,0,1,1,0,0
1:57 AM,33,0,0,2,3,0,0
1:58 AM,34,1,0,4,11,0,0
1:59 AM,35,0,0,9,12,0,0
2:00 AM,35,1,0,5,6,0,0
2:01 AM,35,1,0,5,6,0,0
2:02 AM,34,0,0,6,9,0,0
2:03 AM,33,0,0,1,1,0,0
2:04 AM,33,0,0,2,2,0,0
2:05 AM,35,2,0,8,12,0,0
2:06 AM,35,1,0,2,2,0,0
2:07 AM,35,1,0,4,4,0,0
2:08 AM,33,0,0,2,2,0,0
2:09 AM,33,0,0,1,2,0,0
2:10 AM,33,0,0,1,1,0,0
2:11 AM,34,0,0,0,0,0,0
2:12 AM,36,2,0,5,6,0,0
2:13 AM,36,0,0,3,3,0,0
2:14 AM,36,0,0,2,3,0,0
2:15 AM,35,0,0,2,4,0,0
2:16 AM,35,0,0,3,3,0,0
2:17 AM,35,0,0,1,1,0,0
2:18 AM,32,0,0,0,0,0,0
2:19 AM,35,0,0,1,2,0,0
2:20 AM,32,1,0,2,3,0,0
2:21 AM,34,0,0,2,2,0,0
2:22 AM,34,0,0,2,2,0,0
2:23 AM,29,0,0,3,9,0,0
2:24 AM,30,0,0,4,6,0,0
2:25 AM,30,1,0,11,19,0,0
