Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
12:19 AM,4,5,0,2,2,0,0
12:20 AM,8,3,0,3,4,0,0
12:21 AM,5,2,0,5,6,0,0
12:22 AM,10,2,0,5,9,0,0
12:23 AM,10,2,0,4,7,0,0
12:24 AM,10,1,0,4,8,0,0
12:25 AM,14,0,0,4,8,0,0
12:26 AM,14,2,0,1,1,0,0
12:27 AM,14,3,0,2,4,0,0
12:28 AM,17,3,0,5,9,0,0
12:29 AM,14,3,0,3,3,0,0
12:30 AM,17,2,0,3,4,0,0
12:31 AM,19,1,0,5,6,0,0
12:32 AM,20,2,0,1,3,0,0
12:33 AM,17,2,0,2,3,0,0
12:34 AM,17,3,0,4,6,0,0
12:35 AM,21,1,0,1,1,0,0
12:36 AM,21,1,0,2,2,0,0
12:37 AM,19,1,0,2,7,0,0
12:38 AM,19,0,0,2,5,0,0
12:39 AM,23,4,0,3,9,0,0
12:40 AM,32,3,0,5,5,0,0
12:41 AM,28,1,0,3,4,0,0
12:42 AM,31,4,0,7,11,0,0
12:43 AM,26,0,0,5,5,0,0
12:44 AM,26,1,0,5,6,0,0
12:45 AM,30,2,0,5,6,0,0
12:46 AM,27,3,2,2,5,0,2
12:47 AM,30,0,0,2,2,0,0
12:48 AM,24,0,0,0,0,0,0
12:49 AM,25,2,0,2,3,0,0
12:50 AM,28,2,0,2,3,0,0
12:51 AM,25,3,0,4,6,0,0
12:52 AM,25,1,0,5,5,0,0
12:53 AM,26,0,0,2,3,0,0
12:54 AM,21,0,0,4,5,0,0
12:55 AM,28,2,0,4,5,0,0
12:56 AM,30,2,0,3,4,0,0
12:57 AM,30,0,0,1,1,0,0
12:58 AM,22,1,0,0,0,0,0
12:59 AM,26,2,0,2,3,0,0
1:00 AM,30,0,0,5,7,0,0
1:01 AM,32,4,0,3,5,0,0
1:02 AM,29,1,0,4,5,0,0
1:03 AM,34,3,0,7,12,0,0
1:04 AM,34,2,0,2,5,0,0
1:05 AM,29,2,0,6,10,0,0
1:06 AM,34,1,0,2,4,0,0
1:07 AM,35,1,0,5,5,0,0
1:08 AM,38,3,0,2,5,0,0
1:09 AM,37,2,0,6,7,0,0
