Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
6:52 PM,1,4,0,2,2,0,0
6:53 PM,6,7,0,5,8,0,0
6:54 PM,8,3,0,4,4,0,0
6:55 PM,7,1,0,2,2,0,0
6:56 PM,6,1,0,4,7,0,0
6:57 PM,8,3,0,2,4,0,0
6:58 PM,9,0,0,2,4,0,0
6:59 PM,8,1,0,1,2,0,2
7:00 PM,7,0,0,1,4,0,0
7:01 PM,7,3,0,2,4,0,0
7:02 PM,12,1,0,2,3,0,0
7:03 PM,12,0,0,3,3,0,0
7:04 PM,17,1,0,2,2,0,0
7:05 PM,18,0,0,3,3,0,0
7:06 PM,17,1,0,1,1,0,0
7:07 PM,17,0,0,5,8,0,0
7:08 PM,18,2,0,2,7,0,0
7:09 PM,18,1,0,3,11,0,0
7:10 PM,17,1,0,2,2,0,0
7:11 PM,16,0,0,0,0,0,0
7:12 PM,16,0,0,5,8,0,0
7:13 PM,15,1,0,4,5,0,0
7:14 PM,17,1,0,1,2,0,0
7:15 PM,17,3,0,1,2,0,0
7:16 PM,21,0,0,3,5,0,0
7:17 PM,18,1,0,1,1,0,0
7:18 PM,19,1,0,1,2,0,0
7:19 PM,18,1,0,1,3,0,0
7:20 PM,19,1,0,1,4,0,0
7:21 PM,19,0,0,1,2,0,0
7:22 PM,17,0,0,1,2,0,0
7:23 PM,17,0,0,1,1,0,0
7:24 PM,17,0,0,1,1,0,0
7:25 PM,18,1,0,2,2,0,0
7:26 PM,18,0,0,3,4,0,0
7:27 PM,17,0,0,1,2,0,0
7:28 PM,17,1,0,1,1,0,0
7:29 PM,18,0,0,4,6,0,0
7:30 PM,17,0,0,1,1,0,0
7:31 PM,17,1,0,3,4,0,0
7:32 PM,15,0,0,2,3,0,0
7:33 PM,18,0,0,0,0,0,0
7:34 PM,17,0,0,0,0,0,0
7:35 PM,17,0,0,2,4,0,0
7:36 PM,17,2,0,1,2,0,0
7:37 PM,18,2,0,1,1,0,0
7:38 PM,19,0,0,1,1,0,0
7:39 PM,19,1,0,2,3,0,0
7:40 PM,17,0,0,1,1,0,0
7:41 PM,18,0,0,2,2,0,0
7:42 PM,18,0,0,1,1,0,0
7:43 PM,18,0,0,0,0,0,0
7:44 PM,17,0,0,0,0,0,0
7:45 PM,17,0,0,0,0,0,0
7:46 PM,17,0,0,1,1,0,0
7:47 PM,17,0,0,2,2,0,0
7:48 PM,17,0,0,1,1,0,0
7:49 PM,14,1,0,2,5,0,0
7:50 PM,15,0,0,1,1,0,0
7:51 PM,17,2,0,3,5,0,0
7:52 PM,15,2,0,0,0,0,0
7:53 PM,19,0,0,2,4,0,0
7:54 PM,21,0,0,2,3,0,0
7:55 PM,21,1,0,0,0,0,0
7:56 PM,19,0,0,1,1,0,0
7:57 PM,16,1,0,2,5,0,0
7:58 PM,15,0,0,1,3,0,0
7:59 PM,19,0,0,0,0,0,0
8:00 PM,19,1,0,0,0,0,0
8:01 PM,17,2,0,3,5,0,0
8:02 PM,21,2,0,5,10,0,0
8:03 PM,23,0,0,4,10,0,0
8:04 PM,21,0,0,4,13,0,0
8:05 PM,19,2,0,4,16,0,0
8:06 PM,19,0,0,4,17,0,0
8:07 PM,19,1,0,4,6,0,0
8:08 PM,15,0,0,5,11,0,0
8:09 PM,19,0,0,5,12,0,0
8:10 PM,16,1,0,6,12,0,0
