Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
7:30 PM,1,7,0,1,1,0,0
7:31 PM,7,7,0,5,10,1,0
7:32 PM,12,5,0,6,11,0,0
7:33 PM,12,2,0,6,8,0,0
7:34 PM,15,3,0,4,6,0,0
7:35 PM,18,2,0,4,5,0,0
7:36 PM,17,0,0,2,2,0,0
7:37 PM,18,2,0,4,4,0,0
7:38 PM,18,3,0,3,4,0,0
7:39 PM,19,1,0,8,19,0,0
7:40 PM,21,1,0,8,9,0,0
7:41 PM,20,0,0,3,6,0,0
7:42 PM,18,1,0,4,12,0,0
7:43 PM,19,2,0,5,6,0,0
7:44 PM,23,6,0,5,8,0,0
7:45 PM,25,0,0,5,6,0,0
7:46 PM,24,2,0,2,2,0,0
7:47 PM,24,4,0,5,5,0,0
7:48 PM,28,3,0,4,4,0,0
7:49 PM,27,2,0,4,6,0,0
7:50 PM,31,2,0,4,5,0,0
7:51 PM,29,1,0,2,3,0,0
7:52 PM,31,3,0,4,4,0,0
7:53 PM,33,3,0,4,5,0,0
7:54 PM,32,1,0,6,11,0,0
7:55 PM,36,4,0,5,11,0,0
7:56 PM,32,1,0,4,7,0,0
7:57 PM,26,0,0,5,6,0,0
7:58 PM,31,1,0,2,2,0,0
7:59 PM,29,1,0,5,7,0,0
8:00 PM,29,2,0,3,4,0,0
8:01 PM,32,2,0,2,2,0,0
8:02 PM,33,2,0,5,5,0,0
8:03 PM,31,2,0,5,9,0,0
8:04 PM,28,2,0,7,9,0,0
8:05 PM,31,1,0,4,4,0,0
8:06 PM,31,4,1,1,1,0,0
8:07 PM,31,1,0,1,1,0,0
8:08 PM,33,1,0,6,13,0,0
8:09 PM,32,2,0,5,13,0,0
8:10 PM,31,0,0,2,3,0,0
8:11 PM,30,1,0,3,3,0,0
8:12 PM,33,2,0,2,5,0,0
8:13 PM,33,1,0,0,0,0,0
8:14 PM,32,1,0,2,2,0,0
8:15 PM,31,0,0,1,1,0,0
8:16 PM,33,3,0,1,1,0,0
8:17 PM,32,2,0,1,1,0,0
8:18 PM,34,4,0,2,2,0,0
8:19 PM,37,3,0,4,6,0,0
8:20 PM,39,2,0,3,5,0,0
8:21 PM,38,1,0,3,3,0,0
8:22 PM,39,1,0,3,3,0,0
8:23 PM,40,2,0,6,9,0,0
8:24 PM,40,3,0,1,1,0,0
8:25 PM,41,0,0,2,2,0,1
8:26 PM,37,1,0,2,3,0,0
8:27 PM,39,3,0,1,1,1,1
8:28 PM,38,2,0,0,0,1,1
8:29 PM,40,2,0,4,6,0,0
8:30 PM,38,1,0,3,3,0,0
8:31 PM,38,1,0,5,5,0,0
8:32 PM,37,1,0,3,3,0,0
8:33 PM,40,4,0,5,10,0,0
8:34 PM,41,1,0,4,6,0,0
8:35 PM,37,1,0,6,10,0,0
8:36 PM,37,0,0,3,6,0,0
8:37 PM,35,1,0,6,9,0,0
8:38 PM,36,2,0,4,7,0,0
8:39 PM,36,2,0,4,4,0,0
8:40 PM,34,0,0,4,9,0,0
8:41 PM,33,0,0,3,7,0,0
8:42 PM,36,1,0,2,4,0,0
8:43 PM,33,1,0,4,7,0,0
8:44 PM,31,1,0,3,4,0,0
8:45 PM,33,3,0,5,8,0,0
8:46 PM,32,2,0,2,3,0,0
8:47 PM,33,3,0,2,2,0,0
8:48 PM,33,1,0,2,2,0,0
8:49 PM,39,5,0,6,9,0,0
8:50 PM,38,2,0,3,5,0,0
8:51 PM,36,0,0,5,7,0,0
8:52 PM,35,0,0,3,7,0,0
8:53 PM,35,2,0,2,6,0,0
8:54 PM,38,3,0,1,1,0,0
8:55 PM,38,3,0,2,4,0,0
8:56 PM,36,2,0,3,4,0,0
8:57 PM,35,0,0,3,6,0,0
8:58 PM,34,1,0,5,8,0,0
8:59 PM,36,1,0,2,2,0,0
9:00 PM,36,2,0,5,9,0,0
9:01 PM,36,0,0,5,9,0,0
9:02 PM,36,2,0,2,4,0,0
9:03 PM,35,0,0,2,3,0,0
9:04 PM,36,2,0,5,7,0,0
9:05 PM,36,0,0,6,9,0,0
9:06 PM,36,0,0,4,10,0,0
9:07 PM,37,2,0,3,4,0,0
9:08 PM,40,1,0,4,6,0,0
9:09 PM,37,0,0,1,1,0,0
9:10 PM,36,1,0,1,3,0,0
9:11 PM,38,2,0,3,3,0,0
9:12 PM,35,0,0,3,5,0,0
9:13 PM,35,0,0,2,3,0,0
9:14 PM,36,2,0,3,4,0,0
9:15 PM,36,0,0,5,11,0,0
9:16 PM,37,1,0,5,11,0,0
9:17 PM,38,1,0,6,10,0,0
9:18 PM,40,2,0,8,17,0,0
9:19 PM,39,1,0,8,11,0,0
9:20 PM,42,0,0,4,11,0,0
9:21 PM,40,1,0,3,6,0,0
9:22 PM,39,1,0,4,9,0,0
9:23 PM,41,1,0,4,6,0,1
9:24 PM,39,0,0,3,7,0,0
9:25 PM,39,1,0,5,8,0,0
9:26 PM,39,1,0,5,8,0,0
9:27 PM,39,0,0,8,15,0,0
9:28 PM,38,0,0,6,9,0,0
9:29 PM,38,1,0,9,15,0,0
9:30 PM,41,2,0,7,11,0,0
9:31 PM,42,2,0,4,5,0,0
9:32 PM,38,1,0,0,0,0,0
9:33 PM,37,1,0,4,10,0,0
9:34 PM,38,4,0,3,5,0,0
9:35 PM,40,0,0,6,18,0,0
9:36 PM,39,0,0,5,9,0,0
9:37 PM,41,2,0,6,9,0,0
9:38 PM,40,0,0,4,10,0,0
9:39 PM,40,3,0,4,10,0,3
9:40 PM,43,3,0,8,14,0,1
9:41 PM,40,2,0,8,14,0,0
9:42 PM,41,2,0,5,9,0,0
9:43 PM,40,0,0,5,8,0,0
9:44 PM,41,1,0,7,16,0,0
9:45 PM,42,1,0,5,8,0,0
9:46 PM,43,2,0,5,10,0,0
9:47 PM,43,0,0,6,9,0,0
9:48 PM,43,0,0,4,4,0,0
9:49 PM,42,0,0,7,11,0,0
9:50 PM,43,0,0,4,5,0,0
9:51 PM,43,0,0,5,9,0,0
9:52 PM,43,1,0,5,7,0,0
9:53 PM,41,0,0,2,5,0,0
9:54 PM,41,1,0,5,7,0,0
9:55 PM,41,0,0,5,7,0,0
9:56 PM,42,1,0,6,9,0,0
9:57 PM,42,0,0,4,6,0,0
9:58 PM,43,1,0,4,14,0,0
9:59 PM,42,1,0,2,4,0,0
10:00 PM,42,0,0,2,2,0,0
10:01 PM,42,0,0,2,3,0,0
10:02 PM,41,0,0,2,2,0,0
10:03 PM,42,3,0,5,13,0,0
10:04 PM,45,1,0,7,12,0,0
10:05 PM,44,0,0,4,7,0,0
10:06 PM,42,1,0,6,11,0,0
10:07 PM,42,2,0,5,11,0,0
10:08 PM,44,1,0,3,3,0,0
10:09 PM,41,1,0,4,9,0,0
10:10 PM,40,0,0,5,8,0,0
10:11 PM,41,2,0,5,8,0,0
10:12 PM,43,0,0,5,16,0,0
10:13 PM,42,2,0,6,16,0,0
10:14 PM,43,3,0,8,13,0,0
10:15 PM,43,0,0,10,23,0,0
10:16 PM,45,2,0,7,10,0,0
10:17 PM,48,3,0,6,9,0,0
10:18 PM,47,1,0,6,11,0,0
10:19 PM,48,2,0,5,7,0,0
10:20 PM,47,1,0,9,15,0,0
10:21 PM,48,2,0,9,19,0,0
10:22 PM,48,2,0,4,7,0,0
10:23 PM,47,0,0,4,8,0,0
10:24 PM,46,1,0,5,12,0,0
10:25 PM,50,2,0,5,9,0,0
10:26 PM,46,0,0,4,10,0,0
10:27 PM,48,2,0,4,5,0,0
10:28 PM,46,0,0,4,4,0,0
10:29 PM,46,0,0,4,7,0,0
10:30 PM,45,1,0,4,4,0,0
10:31 PM,46,0,0,7,7,0,0
