Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
1:56 AM,0,0,0,1,1,0,0
1:57 AM,7,9,0,3,3,0,0
1:58 AM,12,3,0,3,5,0,0
1:59 AM,17,7,0,3,4,0,0
2:00 AM,18,4,0,2,2,0,0
2:01 AM,19,2,0,5,8,0,0
2:02 AM,17,0,0,2,3,0,0
2:03 AM,15,1,0,1,1,0,0
2:04 AM,14,0,0,0,0,0,0
2:05 AM,16,2,0,2,3,0,0
2:06 AM,18,2,0,1,1,0,0
2:07 AM,20,2,0,1,2,0,0
2:08 AM,18,0,0,1,1,0,0
2:09 AM,19,1,0,1,1,0,0
2:10 AM,19,0,0,1,1,0,0
2:11 AM,19,1,0,0,0,0,0
2:12 AM,20,1,0,0,0,0,0
2:13 AM,20,0,0,3,3,0,0
2:14 AM,19,1,0,4,5,0,0
2:15 AM,20,0,0,1,1,0,0
2:16 AM,20,1,0,2,2,0,0
2:17 AM,21,1,0,0,0,0,0
2:18 AM,23,2,0,2,5,0,0
2:19 AM,23,2,0,3,3,0,0
2:20 AM,22,4,0,1,1,0,0
2:21 AM,27,2,0,4,7,0,0
2:22 AM,27,0,0,3,5,0,0
2:23 AM,28,1,0,2,4,0,0
2:24 AM,27,0,0,0,0,0,0
2:25 AM,25,0,0,0,0,0,0
2:26 AM,26,1,0,1,1,0,0
2:27 AM,26,2,0,1,1,0,0
2:28 AM,28,3,0,2,2,0,0
2:29 AM,28,0,0,0,0,0,0
2:30 AM,26,2,0,0,0,0,0
2:31 AM,29,1,0,1,2,0,0
2:32 AM,28,0,0,2,2,0,0
2:33 AM,27,1,0,0,0,0,0
2:34 AM,27,0,0,2,2,0,0
2:35 AM,26,0,0,0,0,0,0
2:36 AM,28,3,0,0,0,0,0
2:37 AM,30,2,0,0,0,0,0
2:38 AM,30,0,0,0,0,0,0
2:39 AM,27,0,0,2,2,0,0
2:40 AM,28,2,0,3,3,0,0
2:41 AM,29,1,0,1,1,0,0
2:42 AM,28,0,0,0,0,0,0
2:43 AM,28,1,0,0,0,0,0
2:44 AM,29,1,0,0,0,0,0
2:45 AM,29,0,0,1,2,0,0
2:46 AM,29,0,0,1,1,0,0
2:47 AM,30,1,0,2,3,0,0
2:48 AM,30,0,0,2,3,0,0
2:49 AM,29,0,0,1,1,0,0
2:50 AM,30,1,0,2,2,0,0
2:51 AM,32,2,0,3,3,0,0
2:52 AM,33,1,0,3,3,0,0
2:53 AM,33,1,0,2,2,0,0
2:54 AM,34,1,0,1,1,0,0
2:55 AM,35,1,0,3,3,0,0
2:56 AM,35,0,0,2,3,0,0
2:57 AM,35,0,0,2,2,0,0
2:58 AM,35,0,0,3,3,0,0
2:59 AM,34,0,0,0,0,0,0
3:00 AM,34,0,0,0,0,0,0
3:01 AM,35,1,0,1,2,0,0
3:02 AM,34,0,0,0,0,0,0
3:03 AM,34,1,0,0,0,0,0
3:04 AM,37,2,0,2,2,0,0
3:05 AM,38,4,0,1,1,0,0
3:06 AM,37,0,0,0,0,0,0
3:07 AM,37,1,0,2,2,0,0
3:08 AM,37,1,0,2,3,0,0
3:09 AM,38,1,0,1,6,0,0
3:10 AM,38,2,0,1,2,0,0
3:11 AM,38,0,0,2,2,0,0
3:12 AM,37,0,0,2,3,0,0
