"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2023_11_9",1,"7:30 PM",1,7,0,1,1,0,0
"2023_11_9",2,"7:31 PM",7,7,0,5,10,1,0
"2023_11_9",3,"7:32 PM",12,5,0,6,11,0,0
"2023_11_9",4,"7:33 PM",12,2,0,6,8,0,0
"2023_11_9",5,"7:34 PM",15,3,0,4,6,0,0
"2023_11_9",6,"7:35 PM",18,2,0,4,5,0,0
"2023_11_9",7,"7:36 PM",17,0,0,2,2,0,0
"2023_11_9",8,"7:37 PM",18,2,0,4,4,0,0
"2023_11_9",9,"7:38 PM",18,3,0,3,4,0,0
"2023_11_9",10,"7:39 PM",19,1,0,8,19,0,0
"2023_11_9",11,"7:40 PM",21,1,0,8,9,0,0
"2023_11_9",12,"7:41 PM",20,0,0,3,6,0,0
"2023_11_9",13,"7:42 PM",18,1,0,4,12,0,0
"2023_11_9",14,"7:43 PM",19,2,0,5,6,0,0
"2023_11_9",15,"7:44 PM",23,6,0,5,8,0,0
"2023_11_9",16,"7:45 PM",25,0,0,5,6,0,0
"2023_11_9",17,"7:46 PM",24,2,0,2,2,0,0
"2023_11_9",18,"7:47 PM",24,4,0,5,5,0,0
"2023_11_9",19,"7:48 PM",28,3,0,4,4,0,0
"2023_11_9",20,"7:49 PM",27,2,0,4,6,0,0
"2023_11_9",21,"7:50 PM",31,2,0,4,5,0,0
"2023_11_9",22,"7:51 PM",29,1,0,2,3,0,0
"2023_11_9",23,"7:52 PM",31,3,0,4,4,0,0
"2023_11_9",24,"7:53 PM",33,3,0,4,5,0,0
"2023_11_9",25,"7:54 PM",32,1,0,6,11,0,0
"2023_11_9",26,"7:55 PM",36,4,0,5,11,0,0
"2023_11_9",27,"7:56 PM",32,1,0,4,7,0,0
"2023_11_9",28,"7:57 PM",26,0,0,5,6,0,0
"2023_11_9",29,"7:58 PM",31,1,0,2,2,0,0
"2023_11_9",30,"7:59 PM",29,1,0,5,7,0,0
"2023_11_9",31,"8:00 PM",29,2,0,3,4,0,0
"2023_11_9",32,"8:01 PM",32,2,0,2,2,0,0
"2023_11_9",33,"8:02 PM",33,2,0,5,5,0,0
"2023_11_9",34,"8:03 PM",31,2,0,5,9,0,0
"2023_11_9",35,"8:04 PM",28,2,0,7,9,0,0
"2023_11_9",36,"8:05 PM",31,1,0,4,4,0,0
"2023_11_9",37,"8:06 PM",31,4,1,1,1,0,0
"2023_11_9",38,"8:07 PM",31,1,0,1,1,0,0
"2023_11_9",39,"8:08 PM",33,1,0,6,13,0,0
"2023_11_9",40,"8:09 PM",32,2,0,5,13,0,0
