"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2023_11_23",1,"4:40 PM",0,1,0,0,0,0,0
"2023_11_23",2,"4:41 PM",10,10,0,7,10,0,0
"2023_11_23",3,"4:42 PM",11,3,0,4,6,0,0
"2023_11_23",4,"4:43 PM",14,3,0,4,9,0,0
"2023_11_23",5,"4:44 PM",11,2,0,1,6,0,0
"2023_11_23",6,"4:45 PM",12,6,0,5,10,0,0
"2023_11_23",7,"4:46 PM",22,15,0,5,11,0,0
"2023_11_23",8,"4:47 PM",15,3,0,4,14,0,0
"2023_11_23",9,"4:48 PM",17,0,0,4,7,0,0
"2023_11_23",10,"4:49 PM",15,0,0,6,9,0,0
"2023_11_23",11,"4:50 PM",13,3,0,5,8,0,0
"2023_11_23",12,"4:51 PM",15,0,0,3,6,0,0
"2023_11_23",13,"4:52 PM",12,4,0,3,5,0,0
"2023_11_23",14,"4:53 PM",15,2,0,4,13,0,0
"2023_11_23",15,"4:54 PM",17,1,0,3,11,0,0
"2023_11_23",16,"4:55 PM",15,3,0,4,7,0,0
"2023_11_23",17,"4:56 PM",21,2,0,4,9,0,0
"2023_11_23",18,"4:57 PM",23,2,0,3,12,0,0
"2023_11_23",19,"4:58 PM",23,2,0,6,12,0,0
"2023_11_23",20,"4:59 PM",22,8,0,8,18,0,0
"2023_11_23",21,"5:00 PM",22,6,0,9,25,0,0
"2023_11_23",22,"5:01 PM",28,2,0,7,15,0,0
"2023_11_23",23,"5:02 PM",28,3,0,9,17,0,0
"2023_11_23",24,"5:03 PM",26,2,0,8,17,0,0
"2023_11_23",25,"5:04 PM",28,2,0,9,21,0,0
"2023_11_23",26,"5:05 PM",27,7,0,6,13,0,0
"2023_11_23",27,"5:06 PM",27,1,0,8,18,0,0
"2023_11_23",28,"5:07 PM",26,2,0,4,10,1,1
"2023_11_23",29,"5:08 PM",28,3,0,5,10,0,0
"2023_11_23",30,"5:09 PM",28,6,0,3,7,0,0
"2023_11_23",31,"5:10 PM",33,3,0,5,9,0,0
"2023_11_23",32,"5:11 PM",25,0,0,5,11,0,0
"2023_11_23",33,"5:12 PM",29,2,0,6,13,0,0
"2023_11_23",34,"5:13 PM",30,3,0,4,7,0,0
"2023_11_23",35,"5:14 PM",28,2,0,4,8,0,0
"2023_11_23",36,"5:15 PM",30,2,0,8,22,0,0
"2023_11_23",37,"5:16 PM",29,3,0,9,18,0,0
"2023_11_23",38,"5:17 PM",24,4,0,6,10,0,0
"2023_11_23",39,"5:18 PM",27,4,0,7,13,0,0
"2023_11_23",40,"5:19 PM",32,2,0,6,12,0,0
"2023_11_23",41,"5:20 PM",35,2,0,8,16,0,0
"2023_11_23",42,"5:21 PM",33,3,0,12,23,0,0
"2023_11_23",43,"5:22 PM",32,0,0,7,15,0,0
"2023_11_23",44,"5:23 PM",33,0,0,6,12,0,0
"2023_11_23",45,"5:24 PM",32,2,0,8,16,0,0
