"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2024_1_14",1,"12:28 AM",8,13,0,3,6,0,0
"2024_1_14",2,"12:29 AM",12,4,0,5,7,0,0
"2024_1_14",3,"12:30 AM",8,1,0,3,3,0,0
"2024_1_14",4,"12:31 AM",13,3,0,3,3,0,0
"2024_1_14",5,"12:32 AM",12,1,0,1,1,0,0
"2024_1_14",6,"12:33 AM",12,0,0,0,0,0,0
"2024_1_14",7,"12:34 AM",13,2,0,1,1,0,0
"2024_1_14",8,"12:35 AM",14,4,0,2,3,0,0
"2024_1_14",9,"12:36 AM",14,1,0,2,3,0,0
"2024_1_14",10,"12:37 AM",11,0,0,0,0,0,0
"2024_1_14",11,"12:38 AM",14,2,0,0,0,0,0
"2024_1_14",12,"12:39 AM",15,1,0,4,5,0,0
"2024_1_14",13,"12:40 AM",14,3,0,1,2,0,0
"2024_1_14",14,"12:41 AM",14,0,0,1,1,0,0
"2024_1_14",15,"12:42 AM",17,0,0,0,0,0,0
"2024_1_14",16,"12:43 AM",17,0,0,0,0,0,0
"2024_1_14",17,"12:44 AM",19,2,0,1,1,0,0
"2024_1_14",18,"12:45 AM",19,2,0,2,2,0,0
"2024_1_14",19,"12:46 AM",21,0,0,2,2,0,0
"2024_1_14",20,"12:47 AM",19,0,0,2,2,0,0
"2024_1_14",21,"12:48 AM",19,1,0,0,0,0,0
"2024_1_14",22,"12:49 AM",23,3,0,3,3,0,0
"2024_1_14",23,"12:50 AM",25,2,0,3,3,0,0
"2024_1_14",24,"12:51 AM",25,2,0,3,3,0,0
"2024_1_14",25,"12:52 AM",22,0,0,2,2,0,0
"2024_1_14",26,"12:53 AM",23,1,0,3,3,0,0
"2024_1_14",27,"12:54 AM",21,0,0,1,1,0,0
"2024_1_14",28,"12:55 AM",23,0,0,1,1,0,0
"2024_1_14",29,"12:56 AM",19,0,0,1,1,0,0
"2024_1_14",30,"12:57 AM",18,1,0,0,0,0,0
"2024_1_14",31,"12:58 AM",21,1,0,2,3,0,0
"2024_1_14",32,"12:59 AM",23,2,0,2,2,0,0
"2024_1_14",33,"1:00 AM",25,1,0,0,0,0,0
"2024_1_14",34,"1:01 AM",23,1,0,1,1,0,0
"2024_1_14",35,"1:02 AM",27,2,0,4,5,0,0
"2024_1_14",36,"1:03 AM",25,3,0,4,9,0,0
"2024_1_14",37,"1:04 AM",27,1,0,3,3,0,0
"2024_1_14",38,"1:05 AM",28,1,0,1,1,0,0
"2024_1_14",39,"1:06 AM",28,0,0,2,4,0,0
"2024_1_14",40,"1:07 AM",28,0,0,1,1,0,0
"2024_1_14",41,"1:08 AM",25,0,0,0,0,0,0
"2024_1_14",42,"1:09 AM",21,1,0,1,1,0,0
"2024_1_14",43,"1:10 AM",22,1,0,3,6,0,0
"2024_1_14",44,"1:11 AM",25,1,0,2,5,0,0
"2024_1_14",45,"1:12 AM",23,1,0,0,0,0,0
"2024_1_14",46,"1:13 AM",22,1,0,2,3,0,0
"2024_1_14",47,"1:14 AM",27,1,0,3,7,0,0
"2024_1_14",48,"1:15 AM",25,2,0,1,1,0,0
"2024_1_14",49,"1:16 AM",28,1,0,1,1,0,0
"2024_1_14",50,"1:17 AM",27,1,0,1,1,0,0
"2024_1_14",51,"1:18 AM",28,0,0,3,5,0,0
"2024_1_14",52,"1:19 AM",27,0,0,1,2,0,0
"2024_1_14",53,"1:20 AM",27,0,0,1,2,0,0
"2024_1_14",54,"1:21 AM",27,0,0,1,2,0,0
"2024_1_14",55,"1:22 AM",24,1,0,1,2,0,0
"2024_1_14",56,"1:23 AM",22,2,0,0,0,0,0
"2024_1_14",57,"1:24 AM",30,1,0,3,3,0,0
"2024_1_14",58,"1:25 AM",29,1,0,1,1,0,0
"2024_1_14",59,"1:26 AM",27,2,0,2,2,0,0
"2024_1_14",60,"1:27 AM",29,1,0,4,5,0,0
"2024_1_14",61,"1:28 AM",26,1,0,0,0,0,0
"2024_1_14",62,"1:29 AM",30,0,0,1,2,0,0
"2024_1_14",63,"1:30 AM",30,1,0,2,2,0,0
"2024_1_14",64,"1:31 AM",29,1,0,0,0,0,0
"2024_1_14",65,"1:32 AM",22,0,0,1,1,0,0
"2024_1_14",66,"1:33 AM",28,8,0,5,7,0,0
"2024_1_14",67,"1:34 AM",29,0,0,4,4,0,0
"2024_1_14",68,"1:35 AM",28,0,0,1,1,0,0
"2024_1_14",69,"1:36 AM",29,1,0,2,3,0,0
"2024_1_14",70,"1:37 AM",31,0,0,1,2,0,0
"2024_1_14",71,"1:38 AM",31,1,0,0,0,0,0
"2024_1_14",72,"1:39 AM",25,2,0,0,0,0,0
"2024_1_14",73,"1:40 AM",27,0,0,0,0,0,0
"2024_1_14",74,"1:41 AM",31,0,0,2,2,0,0
"2024_1_14",75,"1:42 AM",24,0,0,0,0,0,0
"2024_1_14",76,"1:43 AM",24,2,0,0,0,0,0
"2024_1_14",77,"1:44 AM",32,1,0,1,1,0,0
"2024_1_14",78,"1:45 AM",28,1,0,2,2,0,0
"2024_1_14",79,"1:46 AM",26,0,0,5,7,0,0
