"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2024_1_7",1,"1:56 AM",0,0,0,1,1,0,0
"2024_1_7",2,"1:57 AM",7,9,0,3,3,0,0
"2024_1_7",3,"1:58 AM",12,3,0,3,5,0,0
"2024_1_7",4,"1:59 AM",17,7,0,3,4,0,0
"2024_1_7",5,"2:00 AM",18,4,0,2,2,0,0
"2024_1_7",6,"2:01 AM",19,2,0,5,8,0,0
"2024_1_7",7,"2:02 AM",17,0,0,2,3,0,0
"2024_1_7",8,"2:03 AM",15,1,0,1,1,0,0
"2024_1_7",9,"2:04 AM",14,0,0,0,0,0,0
"2024_1_7",10,"2:05 AM",16,2,0,2,3,0,0
"2024_1_7",11,"2:06 AM",18,2,0,1,1,0,0
"2024_1_7",12,"2:07 AM",20,2,0,1,2,0,0
"2024_1_7",13,"2:08 AM",18,0,0,1,1,0,0
"2024_1_7",14,"2:09 AM",19,1,0,1,1,0,0
"2024_1_7",15,"2:10 AM",19,0,0,1,1,0,0
"2024_1_7",16,"2:11 AM",19,1,0,0,0,0,0
"2024_1_7",17,"2:12 AM",20,1,0,0,0,0,0
"2024_1_7",18,"2:13 AM",20,0,0,3,3,0,0
"2024_1_7",19,"2:14 AM",19,1,0,4,5,0,0
"2024_1_7",20,"2:15 AM",20,0,0,1,1,0,0
"2024_1_7",21,"2:16 AM",20,1,0,2,2,0,0
"2024_1_7",22,"2:17 AM",21,1,0,0,0,0,0
"2024_1_7",23,"2:18 AM",23,2,0,2,5,0,0
"2024_1_7",24,"2:19 AM",23,2,0,3,3,0,0
"2024_1_7",25,"2:20 AM",22,4,0,1,1,0,0
"2024_1_7",26,"2:21 AM",27,2,0,4,7,0,0
"2024_1_7",27,"2:22 AM",27,0,0,3,5,0,0
"2024_1_7",28,"2:23 AM",28,1,0,2,4,0,0
"2024_1_7",29,"2:24 AM",27,0,0,0,0,0,0
"2024_1_7",30,"2:25 AM",25,0,0,0,0,0,0
"2024_1_7",31,"2:26 AM",26,1,0,1,1,0,0
"2024_1_7",32,"2:27 AM",26,2,0,1,1,0,0
"2024_1_7",33,"2:28 AM",28,3,0,2,2,0,0
"2024_1_7",34,"2:29 AM",28,0,0,0,0,0,0
"2024_1_7",35,"2:30 AM",26,2,0,0,0,0,0
"2024_1_7",36,"2:31 AM",29,1,0,1,2,0,0
"2024_1_7",37,"2:32 AM",28,0,0,2,2,0,0
"2024_1_7",38,"2:33 AM",27,1,0,0,0,0,0
"2024_1_7",39,"2:34 AM",27,0,0,2,2,0,0
"2024_1_7",40,"2:35 AM",26,0,0,0,0,0,0
"2024_1_7",41,"2:36 AM",28,3,0,0,0,0,0
"2024_1_7",42,"2:37 AM",30,2,0,0,0,0,0
"2024_1_7",43,"2:38 AM",30,0,0,0,0,0,0
"2024_1_7",44,"2:39 AM",27,0,0,2,2,0,0
"2024_1_7",45,"2:40 AM",28,2,0,3,3,0,0
"2024_1_7",46,"2:41 AM",29,1,0,1,1,0,0
"2024_1_7",47,"2:42 AM",28,0,0,0,0,0,0
"2024_1_7",48,"2:43 AM",28,1,0,0,0,0,0
"2024_1_7",49,"2:44 AM",29,1,0,0,0,0,0
"2024_1_7",50,"2:45 AM",29,0,0,1,2,0,0
"2024_1_7",51,"2:46 AM",29,0,0,1,1,0,0
"2024_1_7",52,"2:47 AM",30,1,0,2,3,0,0
"2024_1_7",53,"2:48 AM",30,0,0,2,3,0,0
"2024_1_7",54,"2:49 AM",29,0,0,1,1,0,0
"2024_1_7",55,"2:50 AM",30,1,0,2,2,0,0
"2024_1_7",56,"2:51 AM",32,2,0,3,3,0,0
"2024_1_7",57,"2:52 AM",33,1,0,3,3,0,0
"2024_1_7",58,"2:53 AM",33,1,0,2,2,0,0
