"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2023_11_16",1,"12:19 AM",4,5,0,2,2,0,0
"2023_11_16",2,"12:20 AM",8,3,0,3,4,0,0
"2023_11_16",3,"12:21 AM",5,2,0,5,6,0,0
"2023_11_16",4,"12:22 AM",10,2,0,5,9,0,0
"2023_11_16",5,"12:23 AM",10,2,0,4,7,0,0
"2023_11_16",6,"12:24 AM",10,1,0,4,8,0,0
"2023_11_16",7,"12:25 AM",14,0,0,4,8,0,0
"2023_11_16",8,"12:26 AM",14,2,0,1,1,0,0
"2023_11_16",9,"12:27 AM",14,3,0,2,4,0,0
"2023_11_16",10,"12:28 AM",17,3,0,5,9,0,0
"2023_11_16",11,"12:29 AM",14,3,0,3,3,0,0
"2023_11_16",12,"12:30 AM",17,2,0,3,4,0,0
"2023_11_16",13,"12:31 AM",19,1,0,5,6,0,0
"2023_11_16",14,"12:32 AM",20,2,0,1,3,0,0
"2023_11_16",15,"12:33 AM",17,2,0,2,3,0,0
"2023_11_16",16,"12:34 AM",17,3,0,4,6,0,0
"2023_11_16",17,"12:35 AM",21,1,0,1,1,0,0
"2023_11_16",18,"12:36 AM",21,1,0,2,2,0,0
"2023_11_16",19,"12:37 AM",19,1,0,2,7,0,0
"2023_11_16",20,"12:38 AM",19,0,0,2,5,0,0
"2023_11_16",21,"12:39 AM",23,4,0,3,9,0,0
"2023_11_16",22,"12:40 AM",32,3,0,5,5,0,0
"2023_11_16",23,"12:41 AM",28,1,0,3,4,0,0
"2023_11_16",24,"12:42 AM",31,4,0,7,11,0,0
"2023_11_16",25,"12:43 AM",26,0,0,5,5,0,0
"2023_11_16",26,"12:44 AM",26,1,0,5,6,0,0
"2023_11_16",27,"12:45 AM",30,2,0,5,6,0,0
"2023_11_16",28,"12:46 AM",27,3,2,2,5,0,2
"2023_11_16",29,"12:47 AM",30,0,0,2,2,0,0
"2023_11_16",30,"12:48 AM",24,0,0,0,0,0,0
"2023_11_16",31,"12:49 AM",25,2,0,2,3,0,0
"2023_11_16",32,"12:50 AM",28,2,0,2,3,0,0
"2023_11_16",33,"12:51 AM",25,3,0,4,6,0,0
"2023_11_16",34,"12:52 AM",25,1,0,5,5,0,0
"2023_11_16",35,"12:53 AM",26,0,0,2,3,0,0
"2023_11_16",36,"12:54 AM",21,0,0,4,5,0,0
"2023_11_16",37,"12:55 AM",28,2,0,4,5,0,0
"2023_11_16",38,"12:56 AM",30,2,0,3,4,0,0
"2023_11_16",39,"12:57 AM",30,0,0,1,1,0,0
"2023_11_16",40,"12:58 AM",22,1,0,0,0,0,0
"2023_11_16",41,"12:59 AM",26,2,0,2,3,0,0
"2023_11_16",42,"1:00 AM",30,0,0,5,7,0,0
"2023_11_16",43,"1:01 AM",32,4,0,3,5,0,0
"2023_11_16",44,"1:02 AM",29,1,0,4,5,0,0
"2023_11_16",45,"1:03 AM",34,3,0,7,12,0,0
"2023_11_16",46,"1:04 AM",34,2,0,2,5,0,0
"2023_11_16",47,"1:05 AM",29,2,0,6,10,0,0
"2023_11_16",48,"1:06 AM",34,1,0,2,4,0,0
"2023_11_16",49,"1:07 AM",35,1,0,5,5,0,0
"2023_11_16",50,"1:08 AM",38,3,0,2,5,0,0
"2023_11_16",51,"1:09 AM",37,2,0,6,7,0,0
