"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2024_3_22",1,"6:52 PM",1,4,0,2,2,0,0
"2024_3_22",2,"6:53 PM",6,7,0,5,8,0,0
"2024_3_22",3,"6:54 PM",8,3,0,4,4,0,0
"2024_3_22",4,"6:55 PM",7,1,0,2,2,0,0
"2024_3_22",5,"6:56 PM",6,1,0,4,7,0,0
"2024_3_22",6,"6:57 PM",8,3,0,2,4,0,0
"2024_3_22",7,"6:58 PM",9,0,0,2,4,0,0
"2024_3_22",8,"6:59 PM",8,1,0,1,2,0,2
"2024_3_22",9,"7:00 PM",7,0,0,1,4,0,0
"2024_3_22",10,"7:01 PM",7,3,0,2,4,0,0
"2024_3_22",11,"7:02 PM",12,1,0,2,3,0,0
"2024_3_22",12,"7:03 PM",12,0,0,3,3,0,0
"2024_3_22",13,"7:04 PM",17,1,0,2,2,0,0
"2024_3_22",14,"7:05 PM",18,0,0,3,3,0,0
"2024_3_22",15,"7:06 PM",17,1,0,1,1,0,0
"2024_3_22",16,"7:07 PM",17,0,0,5,8,0,0
"2024_3_22",17,"7:08 PM",18,2,0,2,7,0,0
"2024_3_22",18,"7:09 PM",18,1,0,3,11,0,0
"2024_3_22",19,"7:10 PM",17,1,0,2,2,0,0
"2024_3_22",20,"7:11 PM",16,0,0,0,0,0,0
"2024_3_22",21,"7:12 PM",16,0,0,5,8,0,0
"2024_3_22",22,"7:13 PM",15,1,0,4,5,0,0
"2024_3_22",23,"7:14 PM",17,1,0,1,2,0,0
"2024_3_22",24,"7:15 PM",17,3,0,1,2,0,0
"2024_3_22",25,"7:16 PM",21,0,0,3,5,0,0
"2024_3_22",26,"7:17 PM",18,1,0,1,1,0,0
"2024_3_22",27,"7:18 PM",19,1,0,1,2,0,0
"2024_3_22",28,"7:19 PM",18,1,0,1,3,0,0
"2024_3_22",29,"7:20 PM",19,1,0,1,4,0,0
"2024_3_22",30,"7:21 PM",19,0,0,1,2,0,0
"2024_3_22",31,"7:22 PM",17,0,0,1,2,0,0
"2024_3_22",32,"7:23 PM",17,0,0,1,1,0,0
"2024_3_22",33,"7:24 PM",17,0,0,1,1,0,0
"2024_3_22",34,"7:25 PM",18,1,0,2,2,0,0
"2024_3_22",35,"7:26 PM",18,0,0,3,4,0,0
"2024_3_22",36,"7:27 PM",17,0,0,1,2,0,0
"2024_3_22",37,"7:28 PM",17,1,0,1,1,0,0
"2024_3_22",38,"7:29 PM",18,0,0,4,6,0,0
"2024_3_22",39,"7:30 PM",17,0,0,1,1,0,0
"2024_3_22",40,"7:31 PM",17,1,0,3,4,0,0
"2024_3_22",41,"7:32 PM",15,0,0,2,3,0,0
"2024_3_22",42,"7:33 PM",18,0,0,0,0,0,0
"2024_3_22",43,"7:34 PM",17,0,0,0,0,0,0
"2024_3_22",44,"7:35 PM",17,0,0,2,4,0,0
"2024_3_22",45,"7:36 PM",17,2,0,1,2,0,0
"2024_3_22",46,"7:37 PM",18,2,0,1,1,0,0
"2024_3_22",47,"7:38 PM",19,0,0,1,1,0,0
"2024_3_22",48,"7:39 PM",19,1,0,2,3,0,0
"2024_3_22",49,"7:40 PM",17,0,0,1,1,0,0
"2024_3_22",50,"7:41 PM",18,0,0,2,2,0,0
"2024_3_22",51,"7:42 PM",18,0,0,1,1,0,0
"2024_3_22",52,"7:43 PM",18,0,0,0,0,0,0
"2024_3_22",53,"7:44 PM",17,0,0,0,0,0,0
"2024_3_22",54,"7:45 PM",17,0,0,0,0,0,0
"2024_3_22",55,"7:46 PM",17,0,0,1,1,0,0
"2024_3_22",56,"7:47 PM",17,0,0,2,2,0,0
"2024_3_22",57,"7:48 PM",17,0,0,1,1,0,0
"2024_3_22",58,"7:49 PM",14,1,0,2,5,0,0
"2024_3_22",59,"7:50 PM",15,0,0,1,1,0,0
"2024_3_22",60,"7:51 PM",17,2,0,3,5,0,0
"2024_3_22",61,"7:52 PM",15,2,0,0,0,0,0
"2024_3_22",62,"7:53 PM",19,0,0,2,4,0,0
"2024_3_22",63,"7:54 PM",21,0,0,2,3,0,0
"2024_3_22",64,"7:55 PM",21,1,0,0,0,0,0
"2024_3_22",65,"7:56 PM",19,0,0,1,1,0,0
"2024_3_22",66,"7:57 PM",16,1,0,2,5,0,0
"2024_3_22",67,"7:58 PM",15,0,0,1,3,0,0
"2024_3_22",68,"7:59 PM",19,0,0,0,0,0,0
"2024_3_22",69,"8:00 PM",19,1,0,0,0,0,0
"2024_3_22",70,"8:01 PM",17,2,0,3,5,0,0
"2024_3_22",71,"8:02 PM",21,2,0,5,10,0,0
"2024_3_22",72,"8:03 PM",23,0,0,4,10,0,0
"2024_3_22",73,"8:04 PM",21,0,0,4,13,0,0
"2024_3_22",74,"8:05 PM",19,2,0,4,16,0,0
"2024_3_22",75,"8:06 PM",19,0,0,4,17,0,0
"2024_3_22",76,"8:07 PM",19,1,0,4,6,0,0
"2024_3_22",77,"8:08 PM",15,0,0,5,11,0,0
"2024_3_22",78,"8:09 PM",19,0,0,5,12,0,0
"2024_3_22",79,"8:10 PM",16,1,0,6,12,0,0
