"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2023_11_10",1,"12:24 AM",12,7,0,6,8,0,0
"2023_11_10",2,"12:25 AM",11,1,0,7,13,0,0
"2023_11_10",3,"12:26 AM",13,1,0,5,10,0,0
"2023_11_10",4,"12:27 AM",14,1,0,2,2,0,0
"2023_11_10",5,"12:28 AM",16,5,0,4,4,0,0
"2023_11_10",6,"12:29 AM",21,0,0,1,1,0,0
"2023_11_10",7,"12:30 AM",23,3,0,1,2,0,0
"2023_11_10",8,"12:31 AM",21,2,0,3,3,0,0
"2023_11_10",9,"12:32 AM",21,0,0,6,7,0,0
"2023_11_10",10,"12:33 AM",21,1,0,7,9,0,0
"2023_11_10",11,"12:34 AM",21,3,0,5,8,0,0
"2023_11_10",12,"12:35 AM",26,1,0,6,8,0,0
"2023_11_10",13,"12:36 AM",25,3,0,2,2,0,0
"2023_11_10",14,"12:37 AM",23,0,0,1,1,0,0
"2023_11_10",15,"12:38 AM",25,2,0,2,2,0,0
"2023_11_10",16,"12:39 AM",26,1,0,1,1,0,0
"2023_11_10",17,"12:40 AM",24,1,0,0,0,0,0
"2023_11_10",18,"12:41 AM",24,1,0,1,1,0,0
"2023_11_10",19,"12:42 AM",18,2,0,1,1,0,0
"2023_11_10",20,"12:43 AM",19,1,0,1,1,0,0
"2023_11_10",21,"12:44 AM",22,9,0,5,8,0,0
"2023_11_10",22,"12:45 AM",27,3,0,1,1,0,0
"2023_11_10",23,"12:46 AM",31,3,0,3,5,0,0
"2023_11_10",24,"12:47 AM",28,0,0,4,6,0,0
"2023_11_10",25,"12:48 AM",31,2,0,8,11,0,0
"2023_11_10",26,"12:49 AM",25,0,0,8,13,0,0
"2023_11_10",27,"12:50 AM",31,1,0,0,0,0,0
"2023_11_10",28,"12:51 AM",28,0,0,2,2,0,0
"2023_11_10",29,"12:52 AM",28,3,0,6,7,0,0
"2023_11_10",30,"12:53 AM",29,0,0,0,0,0,0
"2023_11_10",31,"12:54 AM",27,4,0,3,5,0,0
"2023_11_10",32,"12:55 AM",27,0,0,4,6,0,0
"2023_11_10",33,"12:56 AM",32,1,0,1,1,0,0
"2023_11_10",34,"12:57 AM",31,0,0,3,3,0,0
"2023_11_10",35,"12:58 AM",32,1,0,2,3,0,0
"2023_11_10",36,"12:59 AM",32,1,0,2,4,0,0
"2023_11_10",37,"1:00 AM",27,1,0,0,0,0,0
"2023_11_10",38,"1:01 AM",30,2,0,1,1,0,0
"2023_11_10",39,"1:02 AM",30,0,0,2,3,0,0
"2023_11_10",40,"1:03 AM",30,0,0,0,0,0,0
"2023_11_10",41,"1:04 AM",28,1,0,2,2,0,0
"2023_11_10",42,"1:05 AM",31,0,0,3,6,0,0
"2023_11_10",43,"1:06 AM",28,1,0,3,4,0,0
"2023_11_10",44,"1:07 AM",31,0,0,3,4,0,0
"2023_11_10",45,"1:08 AM",35,3,0,5,5,0,0
"2023_11_10",46,"1:09 AM",32,2,0,1,1,0,0
"2023_11_10",47,"1:10 AM",32,1,0,2,2,0,0
"2023_11_10",48,"1:11 AM",34,2,0,1,1,0,0
"2023_11_10",49,"1:12 AM",34,1,0,1,1,0,0
"2023_11_10",50,"1:13 AM",35,0,0,4,4,0,0
"2023_11_10",51,"1:14 AM",35,0,0,2,2,0,0
"2023_11_10",52,"1:15 AM",35,1,0,1,1,0,0
"2023_11_10",53,"1:16 AM",35,0,0,2,3,0,0
"2023_11_10",54,"1:17 AM",35,0,0,1,1,0,0
"2023_11_10",55,"1:18 AM",36,2,0,2,3,0,0
"2023_11_10",56,"1:19 AM",36,1,0,0,0,0,0
"2023_11_10",57,"1:20 AM",35,0,0,1,1,0,0
"2023_11_10",58,"1:21 AM",36,0,0,4,5,0,0
"2023_11_10",59,"1:22 AM",34,0,0,1,2,0,0
"2023_11_10",60,"1:23 AM",36,1,0,2,3,0,0
"2023_11_10",61,"1:24 AM",36,2,0,1,1,0,0
"2023_11_10",62,"1:25 AM",39,3,0,3,3,0,0
"2023_11_10",63,"1:26 AM",36,1,0,1,1,0,0
"2023_11_10",64,"1:27 AM",34,0,0,2,4,0,0
"2023_11_10",65,"1:28 AM",34,2,0,2,2,0,0
"2023_11_10",66,"1:29 AM",36,2,0,3,4,0,0
"2023_11_10",67,"1:30 AM",37,1,0,1,1,0,0
"2023_11_10",68,"1:31 AM",36,1,0,4,4,0,0
"2023_11_10",69,"1:32 AM",36,2,2,1,1,0,0
"2023_11_10",70,"1:33 AM",35,0,0,4,4,0,0
"2023_11_10",71,"1:34 AM",36,1,0,1,2,0,0
"2023_11_10",72,"1:35 AM",35,1,0,1,1,0,0
"2023_11_10",73,"1:36 AM",36,0,0,0,0,0,0
"2023_11_10",74,"1:37 AM",35,1,0,0,0,0,0
"2023_11_10",75,"1:38 AM",35,0,0,0,0,0,0
"2023_11_10",76,"1:39 AM",32,0,0,0,0,0,0
"2023_11_10",77,"1:40 AM",36,0,0,5,6,0,0
"2023_11_10",78,"1:41 AM",35,1,0,1,2,0,0
"2023_11_10",79,"1:42 AM",35,0,0,1,1,0,0
"2023_11_10",80,"1:43 AM",39,3,0,5,6,0,0
"2023_11_10",81,"1:44 AM",38,1,0,1,1,0,0
"2023_11_10",82,"1:45 AM",39,6,0,7,10,0,0
"2023_11_10",83,"1:46 AM",37,0,0,4,5,0,0
"2023_11_10",84,"1:47 AM",36,3,0,2,3,0,0
"2023_11_10",85,"1:48 AM",37,2,0,1,1,0,0
"2023_11_10",86,"1:49 AM",37,1,0,9,14,0,0
"2023_11_10",87,"1:50 AM",41,2,0,5,6,0,0
"2023_11_10",88,"1:51 AM",41,1,0,5,6,0,0
"2023_11_10",89,"1:52 AM",41,3,0,6,6,0,0
"2023_11_10",90,"1:53 AM",44,0,0,4,6,0,0
"2023_11_10",91,"1:54 AM",43,2,0,5,6,0,0
"2023_11_10",92,"1:55 AM",40,0,0,3,3,0,0
"2023_11_10",93,"1:56 AM",41,7,0,3,3,0,0
"2023_11_10",94,"1:57 AM",40,0,0,0,0,0,0
"2023_11_10",95,"1:58 AM",40,3,0,2,4,0,0
"2023_11_10",96,"1:59 AM",38,3,0,2,4,0,0
"2023_11_10",97,"2:00 AM",41,3,0,2,4,0,0
"2023_11_10",98,"2:01 AM",41,1,0,2,3,0,0
"2023_11_10",99,"2:02 AM",41,2,0,3,4,0,0
"2023_11_10",100,"2:03 AM",41,0,0,1,2,0,0
"2023_11_10",101,"2:04 AM",43,2,0,4,4,0,0
"2023_11_10",102,"2:05 AM",40,1,0,2,4,0,0
"2023_11_10",103,"2:06 AM",42,1,0,3,5,0,0
"2023_11_10",104,"2:07 AM",44,1,0,2,4,0,0
"2023_11_10",105,"2:08 AM",42,2,0,5,6,0,0
"2023_11_10",106,"2:09 AM",41,1,0,3,3,0,0
"2023_11_10",107,"2:10 AM",44,2,0,4,6,0,0
"2023_11_10",108,"2:11 AM",42,2,0,5,7,0,0
"2023_11_10",109,"2:12 AM",43,2,0,2,2,0,0
